class	GeneID
non-siRNA-PPR	AT3G47840.1
non-siRNA-PPR	AT3G28640.1
non-siRNA-PPR	AT3G25970.1
non-siRNA-PPR	AT3G25060.1
non-siRNA-PPR	AT3G22670.1
non-siRNA-PPR	AT3G21470.1
non-siRNA-PPR	AT3G18840.2
non-siRNA-PPR	AT3G16890.1
non-siRNA-PPR	AT3G15930.1
non-siRNA-PPR	AT3G13880.1
non-siRNA-PPR	AT3G13770.1
non-siRNA-PPR	AT3G11380.1
non-siRNA-PPR	AT3G11350.1
non-siRNA-PPR	AT3G08820.1
non-siRNA-PPR	AT3G05240.1
non-siRNA-PPR	AT3G02010.1
non-siRNA-PPR	AT2G48000.1
non-siRNA-PPR	AT2G46050.1
non-siRNA-PPR	AT2G44880.1
non-siRNA-PPR	AT2G39620.1
non-siRNA-PPR	AT2G39230.1
non-siRNA-PPR	AT2G37320.1
non-siRNA-PPR	AT2G36980.1
non-siRNA-PPR	AT2G34370.1
non-siRNA-PPR	AT2G33760.1
non-siRNA-PPR	AT2G27610.1
non-siRNA-PPR	AT2G25580.1
non-siRNA-PPR	AT2G21090.1
non-siRNA-PPR	AT2G20540.1
non-siRNA-PPR	AT2G17210.1
non-siRNA-PPR	AT2G15630.1
non-siRNA-PPR	AT2G01390.1
non-siRNA-PPR	AT2G01360.1
non-siRNA-PPR	AT1G77340.1
non-siRNA-PPR	AT1G77170.1
non-siRNA-PPR	AT1G77150.1
non-siRNA-PPR	AT1G74630.1
non-siRNA-PPR	AT1G74580.1
non-siRNA-PPR	AT1G74400.1
non-siRNA-PPR	AT1G73400.1
non-siRNA-PPR	AT1G71460.1
non-siRNA-PPR	AT1G62260.1
non-siRNA-PPR	AT1G53600.1
non-siRNA-PPR	AT1G53330.1
non-siRNA-PPR	AT1G43980.1
non-siRNA-PPR	AT1G43010.1
non-siRNA-PPR	AT1G34160.1
non-siRNA-PPR	AT1G31840.1
non-siRNA-PPR	AT1G31430.1
non-siRNA-PPR	AT1G28690.1
non-siRNA-PPR	AT1G14470.1
non-siRNA-PPR	AT1G13040.1
non-siRNA-PPR	AT1G10330.1
non-siRNA-PPR	AT1G09680.1
non-siRNA-PPR	AT1G09220.1
non-siRNA-PPR	AT1G09190.1
non-siRNA-PPR	AT1G06270.1
non-siRNA-PPR	AT1G03560.1
non-siRNA-PPR	AT1G03540.1
non-siRNA-PPR	AT1G03510.1
non-siRNA-PPR	AT1G03100.1
non-siRNA-PPR	AT1G02420.1
